#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,252,418.378909
0,252,418.89718
0,252,419.410806
0,252,419.931095
0,252,420.640187
0,252,421.158325
0,252,421.663645
0,252,422.182132
0,252,422.861645
0,252,423.374817
0,252,423.882689
0,252,424.393619
0,252,425.066861
0,252,425.571062
0,252,426.064011
0,252,426.564368
0,252,427.256401
0,252,427.753118
0,252,428.254065
0,252,428.756965
0,252,429.429971
0,207,429.859052
0,252,430.359015
0,252,430.872763
0,252,431.544961
0,252,432.052938
0,252,432.565616
0,252,433.074839
0,252,433.772779
0,252,434.281048
0,252,434.798968
0,252,435.313648
0,252,435.987979
0,252,436.507116
0,252,437.009365
0,252,437.520804
0,252,438.024649
0,252,438.696049
0,252,439.197683
0,252,439.707108
0,252,440.21288
0,252,440.903898
0,252,441.401611
0,252,441.905861
0,252,442.407294
0,212,443.005654
0,252,443.50036
0,252,444.010721
0,252,444.517408
0,252,445.199807
0,252,445.699444
0,252,446.206746
0,252,446.70542
0,252,447.420568
0,252,447.924202
0,252,448.433108
0,252,448.935042
0,252,449.604108
0,252,450.10253
0,252,450.60108
0,252,451.105814
0,252,451.772063
0,252,452.275082
0,252,452.783917
0,252,453.275219
0,252,453.956926
0,252,454.460425
0,252,454.975498
0,252,455.469285
0,252,456.125715
0,252,456.621339
0,252,457.1318
0,252,457.62976
0,252,458.28473
0,252,458.788744
0,252,459.279101
0,252,459.784499
0,252,460.488087
0,252,460.990723
0,252,461.487294
0,252,461.963741
0,252,462.627703
0,252,463.114266
0,252,463.620784
0,252,464.111652
0,252,464.777969
0,252,465.281718
0,252,465.784165
0,252,466.252429
0,252,466.758905
0,252,467.409828
0,252,467.892312
0,252,468.348263
0,252,468.825367
0,252,469.482877
0,252,469.959611
0,252,470.439645
0,252,470.924123
0,252,471.571218
0,252,472.038925
0,252,472.505949
0,252,472.979822
0,252,473.684269
0,252,474.148161
0,252,474.627022
0,252,475.103163
0,252,475.738657
0,252,476.241598
0,252,476.73265
0,252,477.196872
0,252,477.828934
0,252,478.300616
0,252,478.790103
0,252,479.286803
0,252,479.950547
0,252,480.421814
0,252,480.895748
0,252,481.36814
0,252,482.000155
0,252,482.461478
0,252,482.93362
0,252,483.406532
0,252,484.026863
0,252,484.497597
0,252,484.979719
0,252,485.470573
0,252,486.159211
0,252,486.637502
0,252,487.113812
0,252,487.579577
0,252,488.222527
0,252,488.700931
0,252,489.178207
0,252,489.652353
0,252,490.282193
0,252,490.743646
0,252,491.251384
0,252,491.725454
0,252,492.391889
0,252,492.864544
0,252,493.344965
0,252,493.839171
0,252,494.468338
0,252,494.960892
0,252,495.441667
0,252,495.913984
0,252,496.549383
0,252,497.018218
0,252,497.523301
0,252,498.036661
0,252,498.69985
0,252,499.192858
0,252,499.673352
0,252,500.143562
0,252,500.61703
0,252,501.283675
0,252,501.76146
0,252,502.247133
0,252,502.731199
0,252,503.358032
0,252,503.845419
0,252,504.336918
0,252,504.81105
0,252,505.483035
0,252,505.986937
0,252,506.486562
0,252,507.000712
0,252,507.63847
0,252,508.12498
0,252,508.606788
0,252,509.099408
0,252,509.740475
0,252,510.231668
0,252,510.709289
0,252,511.211264
0,252,511.895307
0,252,512.400852
0,252,512.907051
0,252,513.398334
0,252,514.055708
0,252,514.541187
0,252,515.013701
0,252,515.531533
0,252,516.195645
0,252,516.70343
0,252,517.187402
0,252,517.680708
0,252,518.377418
